label,category,N,mean_err,median_err,acc10,flip_rate,near180_rate
0,bed,2500,31.159323,0.95756584,76.96,16.88,8.88
1,bench,2500,5.477341,0.6943616,96.36,2.92,0.52
2,bottle,2500,9.641565,0.8753627,94.8,4.72,4.64
3,bowl,2000,1.1388152,0.78484416,100.0,0.0,0.0
4,car,2500,6.442974,0.88536525,96.92,3.08,3.04
5,chair,2500,3.9673977,1.0210583,95.19999999999999,0.88,0.0
6,cone,2500,8.0415535,0.15065786,95.48,4.44,3.88
7,cup,2500,12.946197,0.36369452,93.24,6.76,6.76
8,lamp,2500,28.26731,0.77227765,83.24000000000001,16.0,12.16
9,monitor,2500,9.369083,0.90352285,94.19999999999999,5.0,0.4
10,sofa,2500,5.9470353,0.84834504,94.76,2.04,0.6
11,stool,2500,8.062731,0.69885576,95.96000000000001,4.04,4.04
12,table,2500,1.5434589,0.7576975,98.72,0.12,0.12
13,toilet,2500,10.500433,0.3901692,93.47999999999999,6.08,3.84
14,vase,2500,23.01417,0.7910526,87.48,12.04,12.04
